Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM_30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe_2018,Depth_m,TrainCode
53,1.26053087,0.061109441,0.95618727,0.214460611,1.178360343,0.310061251,-0.467806481,-0.940227664,1.255568549,-0.887747053,-117.063257,40.314582,Mound Spring,54,no,0,,1
54,0.256743413,1.032687868,-0.907930888,1.23625562,2.286443599,0.436192989,-0.52183902,1.151599775,1.394688079,-0.547290125,-116.434837,40.316249,near Dann Ranch,86,no,0,,1
55,-0.359500557,-0.540395855,1.073538943,0.868357164,0.552277686,0.869499784,0.624524668,-0.136471309,0.165023159,-0.80521204,-118.004065,40.050038,New York Canyon,75,yes,0,,1
56,1.424433131,0.36349958,1.310311598,0.59924709,1.429602066,0.817075952,0.738421223,0.007792653,0.507826867,-1.290105241,-117.678741,40.246573,Paris Well,63,yes,0,,1
57,0.578501745,-0.784028939,1.252134937,-0.886896486,0.052263561,-0.276980812,0.855712219,1.027944951,-0.433699025,-1.488705115,-119.111972,39.600212,Patua Hot Springs,182,no,21.9,,1
58,-0.753571889,0.465923083,0.68550697,-0.413215531,1.420740935,1.065278964,0.573677681,0.832158146,0.072704379,0.082039348,-117.550181,39.31266,Peterson,150,no,0,,1
59,0.780413897,-0.430908663,1.504917338,0.761518194,1.738297447,0.845384821,1.372903366,-0.775354566,-0.242575266,-1.669250456,-118.155763,39.510026,Pirouette Mount (Dixie Valley),87,yes,0,,1
60,1.195944333,6.310420039,1.213635058,0.015331974,0.979826842,0.280179667,1.620053319,0.677589616,0.034506638,-1.439699952,-118.196257,38.918993,Rawhide-Wedell Hot Spring,151,no,0,,1
61,0.883205263,-0.328934668,0.556973762,-0.665820097,-0.0576073,1.245426312,-0.283636291,-0.723831722,2.40229887,-0.408012291,-117.14612,39.897894,Reese River,150,yes,0,,1
62,0.607034618,1.724801039,-0.03194104,1.241855052,2.049002133,0.555527739,-0.643046505,0.852767283,0.666836607,-1.158565064,-118.271846,40.527263,Rye Patch,224,yes,0,,1
63,0.440743079,0.343207526,1.582571109,-0.113117882,1.989321268,-0.006540564,1.199055759,0.883680989,2.600405613,-1.537710279,-118.570848,39.299779,Salt Wells,188,no,11.3,,1
64,-1.051753139,0.05488055,-1.491311555,-0.363877559,-1.153149292,0.49176225,-0.787486241,-0.424999231,-0.463774941,-0.116560527,-116.075275,39.940819,Shipley Hot Springs,55,no,0,,1
65,2.446651845,1.074042561,1.237141514,-1.179145934,-0.928539869,-2.217682451,1.421539615,0.626066773,0.509792336,-1.388115569,-119.199387,39.429607,Silver Springs,149,yes,0,,1
66,0.257571007,1.314850168,-2.460788482,0.869818864,0.193682847,0.763413012,-1.200669798,-0.940227664,0.440183707,0.025296527,-115.408094,40.252279,Smith Ranch,72,no,0,,1
67,-0.669518556,-0.723859144,0.58728716,-1.362263567,0.909129547,-0.269593817,-0.071265956,-0.054034759,-0.432222203,-1.550606375,-118.84154,39.557042,Soda Lake,216,yes,7,,1
68,0.415391835,-0.477593231,1.179981357,0.450378644,1.324427734,0.93774608,0.837382237,-0.187994152,0.939248486,-1.80852829,-117.725751,40.087535,Sou Hot Springs,85,no,0,,1
69,-1.338340107,0.449676596,-0.344619262,-0.025483391,0.178090219,0.684681949,-0.011941744,0.275711438,0.161936499,-0.22746695,-116.85576,39.327419,Spencer Hot Springs,95,no,0,,1
70,1.531720299,1.955462619,-0.823365076,-0.341614981,-0.997034169,0.785145073,0.933088069,-0.445608369,-1.93686918,0.476659878,-116.437065,38.69528,Spring & Test hole Uce 10,42,no,0,,1
71,0.230027908,0.685796482,-0.772904764,-0.923798545,-1.18660945,0.444008906,-3.013463239,-0.991750508,-0.186079504,0.311589852,-114.556069,39.83037,Spring Valley Well,79,yes,0,,1
72,0.175911705,-1.069723084,1.252824889,-0.542879722,2.062463915,-0.403913205,1.120356773,0.95581297,-0.905408731,-1.625403731,-118.556932,39.545155,Stillwater,178,yes,14.1,,1
73,-0.317122417,0.956721094,-1.553196274,3.963975302,2.485170791,0.844146666,-1.352376945,-0.383780957,0.856456404,0.071722471,-115.286378,40.586553,Sulphur Hot Springs,182,no,0,,1
74,-0.516469263,3.457459936,0.935494168,1.944392683,0.28074705,-0.038747859,-0.370133788,0.224188595,0.28769476,-0.549869344,-117.68407,39.672552,Tungsten Mountain,176,yes,23.7,,1
75,0.665880473,-0.757186917,0.978768346,-0.274646443,1.626222865,0.6351176,-0.243842997,-0.301344407,1.40118174,-0.534394029,-116.883909,40.18684,Unnamed Hot Pool-Carico Valley,50,no,0,,1
76,0.506579509,0.904064497,1.149431622,-0.342334586,1.51957188,0.77313525,-0.711823278,-0.394085525,1.462917623,-0.918697683,-117.106305,40.190806,Valley of the Moon,56,no,0,,1
77,0.098539462,0.329465438,1.542364592,-0.948490243,-1.324444964,-0.470234117,0.716957911,0.110838339,-0.682839471,-1.310738994,-119.180071,39.159884,Wabuska,146,no,1.4,,1
78,-0.141139213,2.884851553,-0.464058397,1.533475295,1.731978271,0.350532449,-3.013463239,1.069163225,0.299427866,-0.219729293,-116.589254,39.901912,Walti Hot Springs,83,no,0,,1
79,-0.621335333,0.695043494,-1.233558635,-1.010443803,-0.405961443,0.654752707,-0.370133788,-0.713527154,-1.407381678,-0.010812542,-115.60704,39.8113,Warm Springs Ranch-Newark Valley,42,no,0,,1
80,1.520473772,0.205850867,1.682732803,-0.234146355,0.539857237,-1.000496405,2.273213592,-0.476522075,-0.539005795,-0.851637985,-119.377829,38.753842,Wellington Well,83,yes,0,,1
81,0.640861896,0.361894196,0.798974148,0.498974522,1.721664214,1.005325165,0.308719793,0.533325655,1.170232754,-1.715676401,-117.619315,40.037744,Western Augusta Mtn Hot Springs,40,no,0,,1
82,-0.489102047,-1.336602129,-0.393024785,-1.743721644,-0.841451697,0.279807934,0.475534814,0.430279968,-0.8928836,0.293535318,-115.23379,38.951009,Williams Hot Springs,123,no,0,,1
83,0.60871072,-0.560495264,1.401143426,0.161974365,-0.941493212,-0.455555444,0.648703533,-0.095253034,-0.003406736,-0.583399193,-119.174853,38.767398,Wilson Hot Spring,94,no,0,,1
84,-0.667509852,0.832849661,0.054349197,0.59798778,-0.608538005,-0.582714306,0.738421223,-0.054034759,-1.756749626,-0.972861285,-115.5919969,38.47054234,"Nevada """"""""""""""""DK"""""""""""""""" Federal No. 1",-10.27692867,,,2193.34073,0
85,-1.510906092,0.447107982,0.016473559,-0.102593198,-0.920477472,-0.743649446,0.789511913,0.18297032,-1.842308703,-0.980598943,-115.6691882,38.48045645,Anderson D. Federal No. 1,-26.96513538,,,2167.432731,0
86,2.961233364,0.178430907,-0.178362891,-1.281442393,2.345228884,1.065074978,-0.170018255,-0.919618527,-1.188753542,-0.570503097,-115.0927968,38.49276294,White River Valley No. 1,-37.08660826,,,3183.635898,0
87,1.735222621,3.224229742,-0.250469277,-0.858427082,1.863954626,0.624842193,-0.170018255,-0.89900939,-1.189758672,-0.47249277,-115.0153163,38.49598067,"Gose """"""""""""""""BZ"""""""""""""""" Federal """"""""""""""""A"""""""""""""""" No. 1",-13.58430394,,,2134.209532,0
88,2.118379315,0.592684207,-0.311688186,-0.804523662,-0.962629766,-0.883966512,0.873607016,-0.97114137,-1.674144859,-0.178461786,-116.3021007,38.53325059,Hot Creek Federal No. 24-13,-25.34325872,,,2956.559905,0
89,1.573509111,1.900879562,-0.189480896,-0.824065681,1.808922108,0.496135846,-0.467806481,-0.723831722,-1.176237236,-0.415749948,-115.0339636,38.54810793,"Gose """"""""""""""""DL"""""""""""""""" Federal No. 1",-23.33795042,,,2154.021531,0
90,-1.497454118,2.226323016,-0.045807234,-0.081095425,-0.780027611,-0.184274538,0.519157735,-0.115862171,-1.89755942,-0.965123628,-115.658711,38.58171657,Lockes Unit No. 1,-63.09282087,,,2232.355129,0
91,-1.193919036,2.280649212,-0.363620613,-1.301794194,-1.144675301,-0.386334454,-1.542368166,1.223731755,-1.163222773,-0.018550199,-114.5715217,38.56645569,Saguaro Unit No. 1,-38.63924853,,,2112.263932,0
92,-0.385410038,2.098598661,-0.052316485,0.787963706,-0.168519734,-0.360607106,0.504901082,-1.032968782,-1.42028958,-0.895484711,-115.5168596,38.64083091,Blue Eagle No. 1,-40.05622878,,,2747.467112,0
93,-1.375359889,1.061713211,-0.123881946,0.580087811,-0.269045719,-0.418577169,0.444984844,0.090229202,-1.594689182,-0.918697683,-115.5941327,38.65530215,Duckwater Creek No. 8-12,-32.57559254,,,2101.291133,0
