Id,QuaternaryFaultDensity,HorizGravityGradient,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient,Heatflow,DEM-30m,Longitude,Latitude,NAME,MAX_Temp_C,Blind_Status,NET_POWER_Mwe,Depth_m,TrainCode
32,-0.141139213,2.884851553,-0.464058397,1.533475295,1.731978271,0.615500715,-2.182920092,1.069163225,0.299427866,-0.219729293,-116.5896468,39.90202629,Reese River,150,yes,0,,1
77,-0.275124313,0.832657015,-1.358205534,1.333289737,0.098919417,0.950847225,-1.200669798,-0.806268272,-0.081786688,0.236792497,-114.8997288,39.88823508,Walti Hot Springs,83,no,0,,1
1,-0.538741933,0.129884093,0.213210506,-0.458460969,0.258714674,0.13992067,-0.135656066,-0.404390094,1.463095438,-0.660775768,-117.5021856,39.91067487,McCoy,122,yes,0,,1
35,0.371355044,0.124297357,0.776120976,-0.382452384,-1.063107328,0.959186339,0.142339957,1.007335813,0.846475663,-0.382220099,-119.2131336,39.90865726,Black Warrior,128,yes,0,,1
79,-1.309507805,1.213903619,-0.534681777,1.066361192,1.391565953,0.362737877,-1.200669798,-0.826877409,0.463677059,-0.230046169,-116.683056,39.94061127,Shipley Hot Springs,55,no,0,,1
4,-1.051753139,0.05488055,-1.491311555,-0.363877559,-1.153149292,0.945821483,-0.787486241,-0.424999231,-0.463774941,-0.116560527,-116.0743863,39.94185444,Hot Springs Point,128,no,0,,1
9,-0.653918157,3.141327709,1.260956915,1.750548876,1.653702565,0.238444717,1.359064317,0.213884026,1.312607943,-1.725993277,-117.8566947,39.95815119,Dixie Valley,250,no,67,,1
20,-0.145533612,0.603729249,1.124400592,0.156149606,1.489985304,0.489300279,0.855712219,0.121142908,1.146997304,-1.725993277,-117.7195868,40.00187947,Hyder Hot Spring,84,no,0,,1
67,0.640861896,0.361894196,0.798974148,0.498974522,1.721664214,0.827110934,0.308719793,0.533325655,1.170232753,-1.715676401,-117.6203381,40.03849193,Western Augusta Mtn Hot Springs,40,no,0,,1
55,-0.359500557,-0.540395855,1.073538943,0.868357164,0.552277686,0.18051642,0.624524668,-0.136471309,0.165023159,-0.80521204,-118.0043762,40.04931363,New York Canyon,75,yes,0,,1
3,0.896987584,0.739095232,0.819394973,0.301330522,1.395609257,0.353466009,0.345153461,-0.414694663,1.098355963,-1.725993277,-117.6060459,40.07911087,McCoy Hot Springs,49,no,0,,1
19,0.415391835,-0.477593231,1.179981357,0.450378644,1.324427734,0.552045493,0.837382237,-0.187994152,0.939248486,-1.725993277,-117.7263518,40.08742854,Sou Hot Springs,85,no,0,,1
5,0.28722581,2.445875339,0.649493711,0.185226627,0.518430388,-0.133905738,0.043048028,0.007792653,0.991518758,-1.166302722,-117.4924107,40.17875462,Jersey Valley Hot Springs,166,no,0,,1
68,0.665880473,-0.757186917,0.978768346,-0.274646443,1.626222865,0.546267977,-0.243842997,-0.301344407,1.40118174,-0.534394029,-116.8845526,40.18650134,Unnamed Hot Pool-Carico Valley,50,no,0,,1
64,0.506579509,0.904064497,1.149431622,-0.342334586,1.51957188,0.6989893,-0.711823278,-0.394085525,1.462917623,-0.918697683,-117.1077556,40.1910135,Valley of the Moon,56,no,0,,1
25,0.845292916,2.977835398,-1.803441228,-1.245822356,-0.61514796,0.599977992,-1.542368166,-0.74444086,0.350702499,-0.067555363,-116.0676896,40.21884201,Bruffey's Hot Springs,72,no,0,,1
16,1.424433131,0.36349958,1.310311598,0.59924709,1.429602066,0.493643857,0.738421223,0.007792653,0.507826867,-1.290105241,-117.6780919,40.24763856,Colado,155,yes,0,,1
21,-0.142664835,1.47847091,0.310925514,0.43306313,1.32764785,-0.579595839,0.396714151,-0.929923096,-0.651117743,-1.38295713,-118.3687607,40.24378256,Paris Well,63,yes,0,,1
59,0.257571007,1.314850168,-2.275530761,0.869818864,0.193682847,0.890092818,-1.200669798,-0.940227664,0.440183707,0.025296527,-115.4087831,40.25219827,Smith Ranch,72,no,0,,1
57,-0.092380746,3.224229742,-1.729105796,-1.340315366,-1.148379646,0.537873177,-0.87157264,-0.651699742,0.304276391,-0.286788991,-116.054905,40.29306422,Carlotti Ranch Springs,39,no,0,,1
2,1.26053087,0.061109441,0.95618727,0.214460611,1.178360343,0.266093263,-0.467806481,-0.940227664,1.255568549,-0.887747053,-117.0638172,40.31492541,Mound Spring,54,no,0,,1
53,0.256743413,1.032687868,-0.907930888,1.23625562,2.286443599,0.168836093,-0.52183902,1.151599775,1.394688079,-0.547290125,-116.4341497,40.31581147,near Dann Ranch,86,no,0,,1
14,-0.942464584,1.543071565,0.407075651,1.009714725,1.432337954,0.198294463,0.043048028,-0.723831722,1.079852977,-1.045079421,-117.3259435,40.36853933,Buffalo Valley Hot Spring,128,no,0,,1
62,0.023834513,0.239242855,-0.805817688,1.418585734,2.351693329,0.203807466,-0.206033971,0.935203833,2.158735849,-0.952227532,-116.5158892,40.40627427,Empire - San Emidio,190,no,4.8,,1
17,-0.655635963,0.656000554,0.931155877,0.506013166,0.339459701,-0.467929684,-0.580014519,-0.507435781,0.408346602,-1.127614434,-117.8859187,40.406146,Crescent Valley Hot Sprgs,87,no,0,,1
36,2.205647704,0.820456096,1.00165764,-0.714550451,1.326243589,0.575406147,1.254463134,0.02840179,0.300655609,-1.501601211,-119.40836,40.38670474,Kyle Hot Springs,124,no,0,,1
33,1.070970429,0.373260315,-0.178362891,0.011733945,-0.882393178,0.65282486,-1.200669798,1.677132777,0.196371608,-1.303001337,-118.7669156,40.40955079,Bach Well,78,yes,0,,1
13,-0.450713294,0.217730708,1.120043967,1.76505343,1.436865487,-0.197249586,0.624524668,-0.064339328,0.44569938,-0.949648313,-117.6269553,40.43937192,Coyote Spring - Pleasant Valley NV,64,no,0,,1
71,0.607034618,1.724801039,-0.03194104,1.241855052,2.049002133,0.062223523,-0.643046505,0.852767283,0.666836607,-1.158565064,-118.2711942,40.52642179,Rye Patch,224,yes,0,,1
63,-0.422823107,-1.177733323,-0.68713367,2.521988761,2.417620978,-0.904863021,-0.102773506,0.316929713,2.165141274,-0.823266574,-116.6033759,40.55976071,Beowawe,227,no,18,,1
11,-0.317122417,0.956721094,-1.553196274,3.043990794,2.476672588,0.451266126,-1.352376945,-0.383780957,0.856456404,0.071722471,-115.2856912,40.58600648,Sulphur Hot Springs,182,no,0,,1
76,0.775145193,2.606092667,1.211983058,1.108997835,0.316434657,-0.846461385,0.118718128,-0.981445939,-0.531115408,-1.016708011,-117.6491725,40.60366167,Leach Hot Springs,169,no,0,,1
7,-0.618422825,-0.512205311,-0.870643369,1.586681147,1.494052819,-0.874137774,-0.370133788,-0.023121053,1.004569186,-0.993495038,-116.4642111,40.60649549,Horseshoe Ranch Spr,77,no,0,,1
